best,last,logs,n_splits,seed,max_len,replicas,lr,epoch,batch_size,dim,transfer_learning,load_weights
lsa-0-fold0-best,lsa-0-fold0-last,lsa-0-fold0-logs,4,42,384,8,0.004,300,128,192,False,True
lsa-1-fold0-best,lsa-1-fold0-last,lsa-1-fold0-logs,4,42,384,8,0.004,300,128,192,False,False
lsa-2-fold0-best,lsa-2-fold0-last,lsa-2-fold0-logs,4,42,384,8,0.01,300,128,192,False,False
lsa-3-fold0-best,lsa-3-fold0-last,lsa-3-fold0-logs,4,42,384,8,0.1,300,128,192,False,False
lsa-4-fold0-best,lsa-4-fold0-last,lsa-4-fold0-logs,4,42,384,8,0.1,300,64,192,False,False
lsa-5-fold0-best,lsa-5-fold0-last,lsa-5-fold0-logs,4,42,384,8,0.1,300,64,192,False,True
lsa-6-fold0-best,lsa-6-fold0-last,lsa-6-fold0-logs,4,42,250,8,0.004,300,128,192,False,False
lsa-7-foldall-best,lsa-7-foldall-last,lsa-7-foldall-logs,4,42,384,8,0.004,300,128,192,False,False
lsa-8-foldall-best,lsa-8-foldall-last,lsa-8-foldall-logs,4,43,384,8,0.004,300,128,192,False,False
lsa-9-foldall-best,lsa-9-foldall-last,lsa-9-foldall-logs,4,44,384,8,0.004,300,128,192,False,False
lsa-10-fold0-best,lsa-10-fold0-last,lsa-10-fold0-logs,4,43,384,8,0.004,300,128,192,False,False
lsa-10-fold1-best,lsa-10-fold1-last,lsa-10-fold1-logs,4,43,384,8,0.004,300,128,192,False,False
lsa-10-fold2-best,lsa-10-fold2-last,lsa-10-fold2-logs,4,43,384,8,0.004,300,128,192,False,False
lsa-13-fold3-best,lsa-13-fold3-last,lsa-13-fold3-logs,4,43,384,8,0.004,300,128,192,False,False
