path,participant_id,sequence_id,sign
parquets/1047004003.parquet,4,1047004003,chicle
parquets/1035010002.parquet,10,1035010002,moneda
parquets/1059006003.parquet,6,1059006003,comprar
parquets/1045008002.parquet,8,1045008002,asado
parquets/1011009001.parquet,9,1011009001,hijo
parquets/1033008001.parquet,8,1033008001,hambre
parquets/1003003005.parquet,3,1003003005,verde
parquets/1062007001.parquet,7,1062007001,darse cuenta
parquets/1041004001.parquet,4,1041004001,perfume
parquets/1005004005.parquet,4,1005004005,brillante
parquets/1042005001.parquet,5,1042005001,sordo
parquets/1004007001.parquet,7,1004007001,amarillo
parquets/1107008017.parquet,8,1107008017,profesor
parquets/1082007008.parquet,7,1082007008,e
parquets/1022005004.parquet,5,1022005004,agua
parquets/1093007007.parquet,7,1093007007,ñ
parquets/1009002003.parquet,2,1009002003,mujeres
parquets/1066007011.parquet,7,1066007011,exámen
parquets/1063004005.parquet,4,1063004005,dar
parquets/1038001002.parquet,1,1038001002,nada
parquets/1078007006.parquet,7,1078007006,a
parquets/1112008003.parquet,8,1112008003,intérprete
parquets/1003004003.parquet,4,1003004003,verde
parquets/1077008011.parquet,8,1077008011,facultad
parquets/1059009004.parquet,9,1059009004,comprar
parquets/1070007015.parquet,7,1070007015,invierno
parquets/1014006003.parquet,6,1014006003,cajón
parquets/1060005001.parquet,5,1060005001,copiar
parquets/1124008016.parquet,8,1124008016,duda
parquets/1126008012.parquet,8,1126008012,Córdoba
parquets/1105007020.parquet,7,1105007020,z
parquets/1023003002.parquet,3,1023003002,comida
parquets/1003010003.parquet,10,1003010003,verde
parquets/1012010004.parquet,10,1012010004,hombre
parquets/1015002002.parquet,2,1015002002,nacer
parquets/1014001004.parquet,1,1014001004,cajón
parquets/1017007002.parquet,7,1017007002,llamar
parquets/1031008001.parquet,8,1031008001,desayuno
parquets/1030002003.parquet,2,1030002003,cumpleaños
parquets/1011003003.parquet,3,1011003003,hijo
parquets/1021004001.parquet,4,1021004001,leche
parquets/1111008018.parquet,8,1111008018,información
parquets/1044003001.parquet,3,1044003001,arroz
parquets/1094007011.parquet,7,1094007011,o
parquets/1011003001.parquet,3,1011003001,hijo
parquets/1035003003.parquet,3,1035003003,moneda
parquets/1124007007.parquet,7,1124007007,duda
parquets/1028008001.parquet,8,1028008001,donde
parquets/1079007001.parquet,7,1079007001,b
parquets/1063006004.parquet,6,1063006004,dar
parquets/1031008003.parquet,8,1031008003,desayuno
parquets/1024003001.parquet,3,1024003001,argentina
parquets/1012002003.parquet,2,1012002003,hombre
parquets/1076007011.parquet,7,1076007011,universidad
parquets/1024004002.parquet,4,1024004002,argentina
parquets/1017002003.parquet,2,1017002003,llamar
parquets/1045002005.parquet,2,1045002005,asado
parquets/1045005003.parquet,5,1045005003,asado
parquets/1016007003.parquet,7,1016007003,aprender
parquets/1082007009.parquet,7,1082007009,e
parquets/1020002005.parquet,2,1020002005,dulce de leche
