path,participant_id,sequence_id,sign
parquets/1047004003.parquet,4,1047004003,Chewing-gum
parquets/1035010002.parquet,10,1035010002,Coin
parquets/1059006003.parquet,6,1059006003,Buy
parquets/1045008002.parquet,8,1045008002,Barbecue
parquets/1011009001.parquet,9,1011009001,Son
parquets/1033008001.parquet,8,1033008001,Hungry
parquets/1003003005.parquet,3,1003003005,Green
parquets/1062007001.parquet,7,1062007001,Realize
parquets/1041004001.parquet,4,1041004001,Perfume
parquets/1005004005.parquet,4,1005004005,Bright
parquets/1042005001.parquet,5,1042005001,Deaf
parquets/1004007001.parquet,7,1004007001,Yellow
parquets/1022005004.parquet,5,1022005004,Water
parquets/1009002003.parquet,2,1009002003,Women
parquets/1063004005.parquet,4,1063004005,Give
parquets/1038001002.parquet,1,1038001002,None
parquets/1003004003.parquet,4,1003004003,Green
parquets/1059009004.parquet,9,1059009004,Buy
parquets/1014006003.parquet,6,1014006003,Drawer
parquets/1060005001.parquet,5,1060005001,Copy
parquets/1023003002.parquet,3,1023003002,Food
parquets/1003010003.parquet,10,1003010003,Green
parquets/1012010004.parquet,10,1012010004,Man
parquets/1015002002.parquet,2,1015002002,Born
parquets/1014001004.parquet,1,1014001004,Drawer
parquets/1017007002.parquet,7,1017007002,Call
parquets/1031008001.parquet,8,1031008001,Breakfast
parquets/1030002003.parquet,2,1030002003,Birthday
parquets/1011003003.parquet,3,1011003003,Son
parquets/1021004001.parquet,4,1021004001,Milk
parquets/1044003001.parquet,3,1044003001,Rice
parquets/1011003001.parquet,3,1011003001,Son
parquets/1035003003.parquet,3,1035003003,Coin
parquets/1028008001.parquet,8,1028008001,Where
parquets/1063006004.parquet,6,1063006004,Give
parquets/1031008003.parquet,8,1031008003,Breakfast
parquets/1024003001.parquet,3,1024003001,Argentina
parquets/1012002003.parquet,2,1012002003,Man
parquets/1024004002.parquet,4,1024004002,Argentina
parquets/1017002003.parquet,2,1017002003,Call
parquets/1045002005.parquet,2,1045002005,Barbecue
